,price,address_line_1,address_line_2,bed_count,full_bath_count,sq_footage,half_bath_count,lot_size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,4,,,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,3,"3,154",,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,3,"3,076",1,"Under 1/2 Acre, 0.23 Acres"
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,3,"1,172",,"Under 1/2 Acre, 0.19 Acres"
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,2,"1,932",,0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,3,"1,676",,"Under 1/2 Acre, 0.43 Acres"
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,2,"1,344",,"Under 1/2 Acre, 0.13 Acres"
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,2,"1,920",,"Under 1/2 Acre, 0.14 Acres"
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,2,"1,664",,2.02 Acres
